model,processor,screen_size,ram,storage,warranty,count,min_price,max_price,avg_price
MacBook Pro,M2Pro,14,16,512,Unknown,1,35000,35000,35000.0
MacBook Pro,M2Pro,14,16,Unknown,Expired Warranty,1,48000,48000,48000.0
MacBook Pro,M2Pro,14,16,Unknown,Unknown,2,34000,35000,34500.0
MacBook Pro,M2Pro,14,Unknown,Unknown,Unknown,3,36000,39000,37333.333333333336
MacBook Pro,M2Pro,16,16,512,Unknown,1,48000,48000,48000.0
MacBook Pro,M2Pro,16,32,Unknown,Unknown,1,57000,57000,57000.0
MacBook Pro,M2Pro,16,Unknown,Unknown,Unknown,2,45000,48000,46500.0
MacBook Pro,M3,13,8,512,Unknown,2,30000,35300,32650.0
MacBook Pro,M3,13,Unknown,Unknown,Unknown,3,40000,76000,52633.333333333336
MacBook Pro,M3,14,8,512,Unknown,3,30000,38000,34333.333333333336
MacBook Pro,M3,14,Unknown,Unknown,In Warranty,1,54000,54000,54000.0
MacBook Pro,M3,14,Unknown,Unknown,Unknown,4,35000,65000,49500.0
MacBook Pro,M3,16,Unknown,Unknown,Unknown,3,66000,99999,81666.33333333333
MacBook Pro,M3Max,13,Unknown,Unknown,Unknown,1,76000,76000,76000.0
MacBook Pro,M3Max,14,64,512,Unknown,1,116000,116000,116000.0
MacBook Pro,M3Max,14,Unknown,Unknown,Unknown,2,76000,76000,76000.0
MacBook Pro,M3Max,16,16,Unknown,Unknown,1,79999,79999,79999.0
MacBook Pro,M3Max,16,Unknown,Unknown,Unknown,1,98000,98000,98000.0
MacBook Pro,M3Pro,13,Unknown,512,Unknown,2,43500,60000,51750.0
MacBook Pro,M3Pro,14,8,512,Unknown,1,41000,41000,41000.0
MacBook Pro,M3Pro,14,Unknown,512,Unknown,7,39500,45000,43200.0
MacBook Pro,M3Pro,14,Unknown,Unknown,In Warranty,2,44500,60000,52250.0
MacBook Pro,M3Pro,14,Unknown,Unknown,Unknown,5,44500,57500,50598.0
MacBook Pro,M3Pro,16,16,512,Unknown,2,46000,54000,50000.0
MacBook Pro,M3Pro,16,16,Unknown,Unknown,1,68000,68000,68000.0
MacBook Pro,M3Pro,16,Unknown,Unknown,Unknown,1,48500,48500,48500.0
MacBook Pro,M4,13,Unknown,Unknown,Unknown,1,45000,45000,45000.0
MacBook Pro,M4,14,16,512,Unknown,5,41500,48800,45820.0
MacBook Pro,M4,14,16,Unknown,Unknown,2,50000,55000,52500.0
MacBook Pro,M4,14,Unknown,512,Unknown,1,42500,42500,42500.0
MacBook Pro,M4,14,Unknown,Unknown,Unknown,2,88,46800,23444.0
MacBook Pro,M4,16,16,512,Unknown,1,45800,45800,45800.0
MacBook Pro,M4Max,14,128,Unknown,Unknown,1,160000,160000,160000.0
MacBook Pro,M4Max,16,Unknown,Unknown,Unknown,1,107950,107950,107950.0
MacBook Pro,M4Pro,13,24,512,Unknown,1,62000,62000,62000.0
MacBook Pro,M4Pro,13,Unknown,Unknown,Unknown,1,79000,79000,79000.0
MacBook Pro,M4Pro,14,24,Unknown,Unknown,1,69500,69500,69500.0
MacBook Pro,Unknown,13,8,256,Unknown,3,6500,7000,6666.666666666667
MacBook Pro,Unknown,13,8,512,Unknown,1,10000,10000,10000.0
MacBook Pro,Unknown,13,8,Unknown,Unknown,6,4500,7999,6716.166666666667
MacBook Pro,Unknown,13,16,256,Unknown,1,12800,12800,12800.0
MacBook Pro,Unknown,13,16,Unknown,Unknown,6,10000,23500,15083.333333333334
MacBook Pro,Unknown,13,128,Unknown,Unknown,3,3000,8500,5500.0
MacBook Pro,Unknown,13,Unknown,256,Unknown,2,5000,9900,7450.0
MacBook Pro,Unknown,13,Unknown,512,Unknown,5,1500,25000,10499.6
MacBook Pro,Unknown,13,Unknown,Unknown,Unknown,55,1,888888,27431.963636363635
MacBook Pro,Unknown,14,16,Unknown,Unknown,6,45000,48000,45500.0
MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,8,6000,77900,30212.25
MacBook Pro,Unknown,15,8,256,Unknown,1,12000,12000,12000.0
MacBook Pro,Unknown,15,8,Unknown,Unknown,1,6500,6500,6500.0
MacBook Pro,Unknown,15,16,256,Unknown,1,12800,12800,12800.0
MacBook Pro,Unknown,15,16,512,Unknown,2,5000,6500,5750.0
MacBook Pro,Unknown,15,Unknown,512,Unknown,1,14500,14500,14500.0
MacBook Pro,Unknown,15,Unknown,Unknown,Unknown,11,100,20000,11627.272727272728
MacBook Pro,Unknown,16,8,256,Unknown,1,4500,4500,4500.0
MacBook Pro,Unknown,16,16,256,Unknown,1,9600,9600,9600.0
MacBook Pro,Unknown,16,16,512,Unknown,1,18800,18800,18800.0
MacBook Pro,Unknown,16,16,Unknown,Unknown,8,16000,53000,24650.0
MacBook Pro,Unknown,16,32,512,Unknown,1,17000,17000,17000.0
MacBook Pro,Unknown,16,Unknown,256,Unknown,2,6600,9800,8200.0
MacBook Pro,Unknown,16,Unknown,Unknown,Unknown,5,2700,58000,19780.0
MacBook Retina,Unknown,12,8,512,Unknown,1,6500,6500,6500.0
MacBook Retina,Unknown,12,8,Unknown,Unknown,1,12999,12999,12999.0
MacBook Retina,Unknown,12,Unknown,Unknown,Unknown,1,5000,5000,5000.0
