title,price,location,date,model,processor,screen_size,storage,ram,warranty,price_num,normalized_link
【售】客製款電池95% MacBook Air 13吋 M3 / 16GB / 256G / 太空灰,"NT$25,900","Taipei, Taiwan",2025-06-29,MacBook Air,M3,13,256,16,Unknown,25900,https://www.facebook.com/marketplace/item/1494633648167945/
"MacBook Pro 14"" A2918","NT$35,000",New Taipei City,2025-06-29,MacBook Pro,Unknown,14,Unknown,Unknown,Unknown,35000,https://www.facebook.com/marketplace/item/1808830436518875/
超值M1 Pro macbook 14吋,"NT$26,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,14,Unknown,Unknown,Unknown,26000,https://www.facebook.com/marketplace/item/712399217813572/
【售】MacBook Air 13吋 M2 / 16GB / 256G / 星光,"NT$23,000","Taipei, Taiwan",2025-06-29,MacBook Air,M2,13,256,16,Unknown,23000,https://www.facebook.com/marketplace/item/1102843455224348/
[售] MacBook Pro M1｜16G RAM 升級款｜電池健康95%,"NT$21,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,16,Unknown,21000,https://www.facebook.com/marketplace/item/1177293730798315/
全新未拆封M4 MacBook Air 13 16/256 星光色 2025 台灣公司貨 注音,"NT$30,800","Taipei, Taiwan",2025-06-29,MacBook Air,M4,13,256,16,Unknown,30800,https://www.facebook.com/marketplace/item/1219663966476506/
2025 Apple MacBook M4 Air 13”,"$31,500","Taipei, Taiwan",2025-06-29,MacBook Air,M4,13,Unknown,Unknown,Unknown,31500,https://www.facebook.com/marketplace/item/1053228619506834/
超值 M1 Pro MacBook Pro retina 16吋,"NT$31,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1Pro,16,Unknown,Unknown,Unknown,31000,https://www.facebook.com/marketplace/item/1230109725118386/
Apple MacBook pro 2019 i9 16吋 16G 1TB 5500M獨顯 A2141,"NT$22,000",New Taipei City,2025-06-29,MacBook Pro,Intel i9,16,Unknown,16,Unknown,22000,https://www.facebook.com/marketplace/item/947902320751736/
超級稀有保固內蘋果M2 24G/1TB SSD 13吋 MacBook Pro 13吋 你與24G最近距離,"NT$36,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M2,13,Unknown,24,In Warranty,36000,https://www.facebook.com/marketplace/item/663360852735003/
M3 MacBook Pro 14寸,"NT$40,000",New Taipei City,2025-06-29,MacBook Pro,M3,14,Unknown,Unknown,Unknown,40000,https://www.facebook.com/marketplace/item/28011383455143813/
【二手】MacBook Pro 13吋 (Late 2020 / M1)｜8G 記憶體｜512G SSD｜盒裝完整,"NT$15,000","Taipei, Taiwan",2025-06-29,MacBook Pro,M1,13,512,8,Unknown,15000,https://www.facebook.com/marketplace/item/2822621101264130/
【客製】2022 M2 MacBook Air 13 吋 / 太空灰色 / 24 GB / 512 GB,"NT$23,000","Keelung, Taiwan",2025-06-29,MacBook Air,M2,13,512,24,Unknown,23000,https://www.facebook.com/marketplace/item/1482003159641958/
【艾爾巴二手】MacBook Air M2/8G/256G A2681 星光色 13吋#二手筆電#彰化店Y507N,"NT$17,500",Changhua,2025-06-29,MacBook Air,M2,13,256,8,Unknown,17500,https://www.facebook.com/marketplace/item/745919714572847/
